Dataset,BT,PBT,WABT,CC,LP
Corel5k,0.017,0.020,0.288,0.285,0.018
Corel16k,0.030,0.031,0.069,0.007,0.032
Reuters,0.039,0.028,0.058,0.121,0.027
Stackex-chemistry,0.022,0.027,0.105,0.029,0.022
Stackex-philosophy,0.019,0.019,0.103,0.038,0.018
Stackex-cooking,0.011,0.011,0.041,0.077,0.011
Stackex-cs,0.018,0.021,0.083,0.091,0.017
Yelp,0.647,0.775,0.764,0.617,0.475
Slashdot,0.118,0.121,0.189,0.047,0.093
langlog,0.028,0.037,0.106,0.000,0.034
