Dataset,BT,PBT,WABT,CC,LP
Corel5k,8.24,7.41,6.66,1914.44,818.13
Corel16k,7.84,6.33,5.99,694.92,1376.12
Reuters,7.71,6.03,5.71,349.03,250.54
Stackex-chemistry,9.20,7.49,6.65,734.73,884.63
Stackex-philosophy,11.25,10.77,10.23,1408.55,1079.19
Stackex-cooking,11.18,10.17,7.96,2451.54,1372.73
Stackex-cs,9.50,8.74,8.31,1383.59,1420.82
Yelp,7.13,7.99,7.74,44.22,73.58
Slashdot,13.20,12.96,11.45,156.44,158.65
Langlog,11.51,12.82,11.60,456.42,407.51
