Dataset,BT,PBT,WABT,CC,LP
Corel5k,0.034,0.078,0.399,0.264,0.018
Corel16k,0.031,0.032,0.065,0.005,0.032
Reuters,0.040,0.042,0.061,0.087,0.031
Stackex-chemistry,0.018,0.041,0.105,0.021,0.022
Stackex-philosophy,0.019,0.022,0.106,0.032,0.018
Stackex-cooking,0.011,0.016,0.040,0.058,0.011
Stackex-cs,0.019,0.031,0.081,0.066,0.017
Yelp,0.669,0.780,0.759,0.578,0.495
Slashdot,0.122,0.173,0.190,0.026,0.099
langlog,0.025,0.047,0.100,0.000,0.079
